...1,farmID,farm,lon,lat,zone,biomass,Dw.in,Ds.in,Dw.out,Ds.out,Dw.self,Ds.self,Dw.f.in,Ds.f.in,Dw.f.out,Ds.f.out,avtemp,all_x,all_y,all_xy,all_xz,all_yz,all_xyz,r10xz_r90yz,r25xz_r75yz,r50xz_r50yz,r75xz_r25yz,r90xz_r10yz,r10z_r90xyz,r25z_r75xyz,r50z_r50xyz,r75z_r25xyz,r90z_r10xyz,r50z_r50xz,r50xz_r50xyz,leastDwin10_z_mostDwin90_xyz,leastDwin25_z_mostDwin75_xyz,leastDwin50_z_mostDwin50_xyz,leastDwin75_z_mostDwin25_xyz,leastDwin90_z_mostDwin10_xyz,leastDwin95_z_mostDwin5_xyz,leastDwin95_xyz_mostDwin5_z,leastDwout10_xyz_mostDwout90_z,leastDwout25_xyz_mostDwout75_z,leastDwout50_xyz_mostDwout50_z,leastDwout75_xyz_mostDwout25_z,leastDwout90_xyz_mostDwout10_z,leastDwout95_xyz_mostDwout5_z,all_z
37,10309,10309,4.966,60.468,4,2340,0.009513889,0.003415084,0.042916667,0.026695938,0.001319444,0.001252277,29,14,56,43,9.923906673,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,z,xyz,xyz,z,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
38,10311,10311,5.171,61.202,4,2340,0.188263889,0.096140276,0.094166667,0.038820474,0.053680556,0.022654827,43,36,13,12,10.38233408,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,xz,xyz,xyz,xyz,xyz,xyz,xyz,xyz,z,z,z,z,z,xyz,xyz,z
39,10318,10318,5.07,61.758,4,5460,0.013541667,0.002789053,0.028125,0.011782743,0.003055556,0.000796903,39,15,13,4,9.487460722,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,xyz,z,z,xz,xz,xyz,z,z,z,z,z,xyz,z,z,xyz,xyz,xyz,xyz,z
40,10319,10319,5.134,61.584,4,3120,0.125763889,0.048098749,0.038680556,0.023622387,0.005486111,0.010473588,23,16,22,16,9.392109524,x,y,xy,xz,yz,xyz,yz,xz,xz,yz,xz,z,xyz,z,xyz,z,xz,xyz,xyz,xyz,xyz,xyz,xyz,z,xyz,z,z,xyz,xyz,xyz,xyz,z
41,10324,10324,5.641,60.223,3,1560,0.100277778,0.094148405,0.131458333,0.096311344,0.009583333,0.012465847,35,30,56,44,10.6408933,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,z,xz,xyz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,z,z,xyz,z
42,10328,10328,5.907,60.141,3,2990,0.098958333,0.048838619,0.127847222,0.059596882,0.01125,0.012067395,42,39,58,43,9.863208651,x,y,xy,xz,yz,xyz,yz,yz,yz,xz,xz,xyz,xyz,z,xyz,z,z,xyz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,z,z,xyz,z
43,10331,10331,6.042,60.112,3,3120,0.046388889,0.039845042,0.120208333,0.049692469,0.002361111,0.002959927,44,51,76,47,10.24895557,x,y,xy,xz,yz,xyz,yz,xz,yz,yz,xz,xyz,z,z,z,z,xz,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,z,z,xyz,z
44,10332,10332,6.08,60.082,3,3120,0.042152778,0.024533172,0.123680556,0.047871,0.001458333,0.012408925,49,46,61,43,10.14144785,x,y,xy,xz,yz,xyz,yz,xz,xz,xz,xz,xyz,z,z,z,z,z,xyz,xyz,xyz,xyz,z,z,z,xyz,z,z,z,z,z,xyz,z
45,10338,10338,6.357,60.407,3,1560,0.094166667,0.035120608,0.084652778,0.03170537,0.009722222,0.021516393,43,31,45,27,9.998219367,x,y,xy,xz,yz,xyz,yz,yz,yz,yz,xz,xyz,xyz,xyz,z,z,xz,xz,xyz,xyz,xyz,xyz,z,z,xyz,z,z,z,z,xyz,xyz,z
46,10375,10375,9.409,63.589,6,7020,0.067291667,0.024361952,0.022083333,0.024305163,0.006041667,0.002276867,57,66,31,53,9.019562693,x,y,xy,xz,yz,xyz,yz,yz,xz,xz,xz,xyz,xyz,z,z,xyz,z,xyz,xyz,xyz,xyz,z,z,z,xyz,z,xyz,xyz,xyz,xyz,xyz,z
