farmID,s1,s2,s3,s4,s5,sp,w1,w2,w3,w4
26155,9.940540541,12.05294118,13.12857143,12.90625,10.37333333,7.368085106,6.4,5.924,5.891428571,7.926666667
26235,11.7888,14.32,15.96827586,13.16190476,10.38823529,8.37575,7.1752,6.2176,6.295,8.988235294
26295,12.297,14.10888889,15.67096774,13.56956522,11.7028,8.0758,7.5928,6.418461538,5.811818182,9.623333333
26335,9.668571429,12.3,12.84814815,11.1047619,9,6.971428571,5.3,4.548,4.818518519,6.845
26435,11.17,13.65172414,15.25852941,13.44107143,10.87242424,7.670454545,6.4832,5.470833333,5.75625,9.1
26575,10.59411765,13.56363636,14.459375,12.73488372,10.27560976,8.297674419,6.226829268,5.478378378,5.89,8.048837209
26595,12.16666667,15.08333333,15.97179487,13.98,11.01111111,8.170731707,6.74,5.582222222,5.66,8.854545455
26738,11.09733333,15.68555556,16.81083333,14.33857143,11.44133333,7.763636364,6.397777778,5.379,5.835555556,8.93
26775,9.228888889,11.4047619,13.34347826,12.76129032,10.21153846,6.902,6.904545455,6.156,6.113333333,8.27826087
26795,9.479230769,12.50148148,14.15361111,12.06147059,9.997666667,6.65,6.148,5.042857143,5.0175,7.585357143
27055,10.770625,13.1905,14.83567568,13.21466667,10.47133333,7.437111111,6.335333333,5.313333333,5.236829268,8.144
27095,12.9,15.375,16.23636364,13.62272727,11.355,8.422,7.248,6.228,6.238888889,8.855
27315,13.309,15.08473684,16.23066667,13.55083333,10.6644,8.826086957,5.683157895,5.172105263,5.570769231,8.13826087
27436,10.22133333,12.85675,14.44604167,12.90645161,10.084,7.306666667,6.67826087,5.86,5.880930233,8.225
27536,9.18,11.36,11.14736842,11.79473684,9.32,6.2,5.675,4.882352941,4.76,6.953333333
28096,12.43051282,14.31628571,16.09357143,14.426,11.73441176,8.649,6.894333333,5.865333333,5.825333333,9.082
28256,7.91,10.95,15.54166667,13.965,11.57777778,7.111111111,6.386666667,5.561538462,5.38,8.942857143
28316,9.84,11.69333333,13.62222222,11.44333333,8.89,6.75625,5.75,5.21,5.58,7.1375
28336,8.998888889,11.73761905,12.50791667,11.4924,8.909642857,6.477714286,5.510666667,4.986333333,5.233333333,6.971714286
28416,9.484375,10.52727273,13.645,12.92142857,11.58666667,8.017073171,8,7.036,7.094117647,8.866666667
28636,9.362888889,11.66157895,13.46302326,12.64117647,10.37586207,7.010377358,6.805,6.3336,6.034883721,7.990909091
28776,10.73,13.23181818,14.93529412,12.9525,10.5525,8.414285714,6.875862069,6.04,5.981481481,8.248571429
28976,11.39111111,13.26888889,14.19814815,13.31111111,11.31,7.886792453,7.196296296,6.356,6.226666667,8.820833333
28996,11.975,14.07342105,15.94047619,14.62029412,12.27103448,8.260208333,7.3792,6.019,5.937096774,9.3976
29016,9.452941176,11.41,13.42,12.31176471,8.852173913,6.569565217,5.485,5.023529412,4.573333333,6.925
29056,9.959,12.56458333,14.03969697,12.591,10.10159091,7.045833333,6.284705882,5.509428571,5.392592593,7.931470588
29116,10.3165,12.901,14.308125,12.77631579,10.05666667,7.471333333,6.856363636,5.9125,5.981428571,8.176923077
29276,11.17777778,12.52941176,15.06785714,12.83809524,11.015,8.316981132,7.292,6.152,6.132142857,9.27
29336,9.645833333,13.87368421,14.66451613,13.45945946,11.065,7.63,7.2175,5.984848485,5.806896552,9.018918919
29376,9.077777778,12.17333333,12.8375,11.08888889,8.673333333,6.530555556,5.477142857,4.991428571,5.308571429,7.094285714
29436,9.06,11.89,12.43333333,10.775,9.342857143,6.052941176,5.354545455,4.88,5.111111111,6.85
29537,9.77,12.61304348,13.83680851,12.3175,9.6975,6.670833333,5.997142857,5.003030303,5.140740741,7.466666667
29656,11.08857143,14.04,15.37142857,13.77619048,11.005,7.671052632,7.038461538,5.793103448,5.515384615,8.725
29697,11.52666667,13.52325581,15.35319149,12.87209302,10.12954545,7.960869565,6.564705882,5.841935484,6.142857143,7.532432432
29816,13.33214286,14.86113636,16.01173077,13.86977273,10.7615625,8.5194,5.9915,5.1095,5.7075,8.4736
29876,10.22941176,12.99615385,13.81891892,11.55483871,8.838888889,6.76,5.189655172,4.303703704,4.62,6.734285714
29896,11.31470588,14.07142857,14.99285714,12.92580645,10.00909091,8.1875,6.263157895,5.9,6.028571429,7.505
29936,13.18,15.153125,15.95789474,13.78857143,10.69117647,8.575,5.986666667,5.1125,5.714705882,8.134482759
29957,12.11904762,15.21666667,16.54615385,13.79117647,10.62,7.658333333,5.433333333,2.683333333,3.7125,7.776923077
30036,6.703181818,8.934137931,12.68090909,12.73785714,9.858529412,5.858888889,6.823478261,4.446111111,4.726086957,8.660333333
30076,9.848888889,12.59772727,13.78632653,11.85,9.1,6.854,5.604,4.584,4.648148148,7
30137,9.428,11.75333333,13.69268293,12.27567568,10.07105263,7.05,6.488235294,5.865714286,5.821875,7.94
30177,8.374,9.213,10.55833333,9.738,8.803333333,6.67,5.613,5.47,5.455,7.434
30196,9.733888889,12.2265,13.76,11.3855,10.53705882,7.446111111,7.866666667,7.004545455,7.47,9.613913043
30257,9.904761905,12.21,13.5375,12.71875,9.947826087,7.264814815,6.4375,5.911111111,5.843243243,7.97
30297,10.13121212,12.54631579,13.31265306,11.64545455,8.813157895,6.905454545,5.248571429,4.496428571,4.958333333,6.494285714
30377,10.352,13.24,14.29705882,13.01190476,10.32,7.24,6.623684211,5.825,5.841176471,8.124324324
30437,9.502888889,11.49232558,13.22,12.49666667,9.951724138,7.055510204,7.0576,6.298,6.006896552,8.357142857
30537,8.322727273,12.186,13.919,12.298,9.5704,6.593333333,6.162631579,5.453333333,5.375714286,7.472
30559,11.16695652,13.1585,15.11193548,13.01921053,10.89289474,7.798235294,6.717179487,5.852105263,5.785142857,8.859736842
30560,10.3856,12.81357143,13.57844444,11.9,9.273333333,7.392702703,5.842045455,5.422,5.774473684,7.226666667
30657,11.665,15.5125,16.57916667,13.79230769,10.57027027,8,5.182352941,3.6,4.421052632,7.654545455
30717,12.48095238,14.42333333,15.72903226,13.75217391,10.4,8.528301887,4.537037037,4.639285714,5.57,8.15
30817,9.375,12.17333333,13.52173913,12.2,9.29,6.582352941,5.401111111,4.7,5.056666667,6.947368421
30837,11.2262963,14.012,15.84939394,14.31771429,11.15,7.637317073,6.8075,5.51575,5.416153846,8.862121212
30897,10.25181818,12.46421053,13.39731707,12.122,9.471666667,7.183333333,6.223214286,5.728,6.1748,7.784482759
30997,10.27225806,12.825,13.4832,11.44,8.344444444,6.944444444,4.6,4.328571429,4.415,6.05
31038,11.21,13.92,15.94117647,12.16511628,10.67272727,8.282121212,6.324666667,5.260697674,5.496,8.272093023
31117,12.589375,14.50428571,17.22272727,14.92,11.43896552,8.059772727,7.0296,5.5785,6.025714286,9.234137931
31157,11.14681818,13.6715,15.769,13.928,11.14428571,7.844444444,6.360714286,5.213043478,5.15,8.707826087
31338,10.18529412,13.05384615,14.48958333,12.99318182,10.32790698,7.431707317,6.42483871,5.840882353,5.931052632,8.132258065
31357,9.641944444,12.28108108,13.65789474,11.25,8.539259259,7.013243243,4.967142857,4.145925926,4.285384615,6.257241379
31437,10.21481481,13.14,14.48125,12.964,10.53043478,7.708333333,7.142857143,6.372727273,6.393333333,8.515
31477,11.19130435,14.65625,14.73157895,12.07333333,9.9,8.12173913,6.238888889,6.35,7.2,8.23
31497,10.95,13.6,15.22368421,13.45581395,11.22444444,7.964285714,6.972093023,5.9425,6.105882353,8.86
31517,9.618181818,11.372,12.70333333,11.62833333,9.8,6.60625,6.329411765,5.57,5.638461538,7.753846154
31557,9.072045455,11.21214286,13.4234,12.9771875,10.03526316,6.753269231,7.198333333,6.339615385,6.121081081,8.64
31577,10.42431818,12.88777778,14.56928571,13.65,11.14705882,8.2568,7.5309375,6.633125,6.223529412,8.839642857
31677,9.077777778,12.74571429,14.44878049,12.75666667,9.942857143,7.457692308,7.127777778,6.125,6.25,8.65
31697,10.71046512,13.28777778,15.41574074,14.02146341,11.26344828,7.465813953,7.034545455,5.689166667,5.4496,8.933181818
31717,10.33170732,13.48108108,14.95952381,12.80526316,10.1025,7.5,6.55,5.476666667,5.416216216,8.036842105
31877,8.946153846,11.772,13.57666667,12.16296296,10.06923077,6.731034483,6.372916667,5.343043478,5.394736842,7.604761905
31959,9.36,11.50526316,13.34388889,12.26666667,9.838461538,7.019811321,6.81,6.281304348,6.389487179,8.371428571
32017,10.01666667,12.9516129,13.38627451,11.61555556,9.231578947,6.630555556,5.691428571,4.985294118,4.5,7.142857143
32037,9.496666667,12.37352941,13.06041667,11.31,9.1375,7.172972973,6.573529412,6.102857143,6.258823529,7.566666667
32057,9.91,12.428,13.6,11.63157895,8.346666667,7.063333333,5.06,4.2,5.28,6.626666667
32097,9.804222222,12.2797619,14.2,13.04,10.184,7.483269231,6.079166667,5.434615385,5.568378378,7.896
32117,9.844516129,12.67965517,16.32071429,15.02689655,12.03636364,7.276136364,8.152647059,7.2078125,6.962432432,9.904857143
32137,8.677272727,9.592,13.2375,13.1,12.31333333,8,9.98,8.652,7.623076923,11.35517241
32157,11.21962963,13.39214286,15.805,14.21405405,10.99022222,7.159777778,6.50475,5.680571429,5.0190625,8.706046512
32197,9.977142857,13.02571429,14.86153846,12.93,10.41923077,7.465853659,6.494444444,5.780952381,5.868,8.113636364
32217,10.494,12.433,15.2275,14.791,7.754615385,5.910833333,4.803,6.9475,5.13,4.15
32277,10.59333333,12.83142857,14.20702703,12.66060606,9.834285714,7.4788,6.208823529,5.621176471,6.1125,7.78
